NumVert,NumEdges,Dijkstra,Bellman-Ford,A_star
10,10,1.5e-05,8e-06,2e-05
60,60,7.2e-05,2.3e-05,9.7e-05
110,110,0.000216,6e-05,0.000115
160,160,0.000332,0.0001,0.000246
210,210,0.000677,0.000188,0.00028
260,260,0.000871,0.000167,0.000381
310,310,0.001153,0.000229,0.000314
360,360,0.001018,0.000154,0.000375
410,410,0.001401,0.000244,0.000373
460,460,0.001675,0.000262,0.000323
10,20,1.1e-05,5e-06,1.6e-05
60,120,6.8e-05,3.3e-05,8.1e-05
110,220,0.000155,6.2e-05,0.000157
160,320,0.000275,0.000111,0.000198
210,420,0.00047,0.000128,0.000348
260,520,0.000593,0.000134,0.000375
310,620,0.000849,0.000209,0.000276
360,720,0.001182,0.000296,0.000716
410,820,0.00133,0.000222,0.000774
460,920,0.001945,0.00035,0.000559
10,80,1.4e-05,1e-05,2.2e-05
60,480,8.8e-05,0.0001,0.000107
110,880,0.000188,0.0002,0.000224
160,1280,0.000375,0.00033,0.000382
210,1680,0.000501,0.000471,0.000429
260,2080,0.000757,0.000536,0.000618
310,2480,0.000938,0.000614,0.000775
360,2880,0.001242,0.000836,0.000851
410,3280,0.001583,0.000925,0.000894
460,3680,0.001894,0.00119,0.000842
10,25,1.1e-05,6e-06,1.4e-05
60,900,0.000107,0.00017,0.000119
110,3025,0.000297,0.000782,0.000228
160,6400,0.000574,0.001742,0.000482
210,11025,0.000958,0.00329,0.000625
260,16900,0.001467,0.005395,0.000736
310,24025,0.002281,0.00759,0.001081
360,32400,0.002879,0.009938,0.001586
410,42025,0.003695,0.010291,0.001635
460,52900,0.004519,0.012781,0.002413
