NumVert,NumEdges,Dijkstra,Bellman-Ford,Johnson,Floyd-Warshall
10,10,9.8e+07,3.8e+07,4.5e+07,1.5e+07
20,20,1.86e+08,5.3e+07,1.06e+08,8.6e+07
30,30,4.13e+08,1.12e+08,2.1e+08,2.69e+08
40,40,6.46e+08,1.63e+08,3e+08,5.92e+08
50,50,9.56e+08,2.31e+08,4.17e+08,1.106e+09
60,60,1.451e+09,3.37e+08,6.02e+08,1.914e+09
70,70,2.028e+09,4.53e+08,8.06e+08,3.03e+09
80,80,2.519e+09,5.45e+08,9.61e+08,4.375e+09
90,90,3.119e+09,6.93e+08,1.233e+09,6.356e+09
100,100,3.895e+09,8.24e+08,1.452e+09,8.541e+09
10,20,7.3e+07,3.1e+07,5.4e+07,2.3e+07
20,40,2.58e+08,1.02e+08,1.49e+08,1.18e+08
30,60,5.46e+08,2e+08,2.9e+08,3.51e+08
40,80,1.085e+09,3.74e+08,6.32e+08,8.81e+08
50,100,1.633e+09,6.21e+08,9.37e+08,1.399e+09
60,120,2.893e+09,1.019e+09,1.806e+09,3.18e+09
70,140,3.526e+09,1.201e+09,2.146e+09,4.935e+09
80,160,5.502e+09,1.797e+09,3.358e+09,6.928e+09
90,180,7.226e+09,2.182e+09,5e+09,1.0677e+10
100,200,8.715e+09,2.601e+09,5.629e+09,1.3553e+10
10,40,9.4e+07,5e+07,6.8e+07,3.7e+07
20,80,3.09e+08,1.68e+08,1.92e+08,1.72e+08
30,120,8.93e+08,6.92e+08,5.61e+08,6.21e+08
40,160,1.828e+09,9.57e+08,9.35e+08,1.322e+09
50,200,2.286e+09,1.198e+09,1.563e+09,2.592e+09
60,240,3.465e+09,1.722e+09,2.228e+09,4.11e+09
70,280,4.936e+09,2.335e+09,3.235e+09,7.041e+09
80,320,6.463e+09,2.923e+09,4.318e+09,9.629e+09
90,360,9.506e+09,3.958e+09,6.33e+09,1.3746e+10
100,400,1.1091e+10,4.992e+09,7.812e+09,1.8825e+10
10,25,7.6e+07,3.4e+07,5.6e+07,2.7e+07
20,100,3.3e+08,1.9e+08,2.07e+08,1.97e+08
30,225,8.2e+08,6.15e+08,5.68e+08,6.61e+08
40,400,1.616e+09,1.515e+09,1.016e+09,1.747e+09
50,625,2.766e+09,3.541e+09,1.783e+09,3.503e+09
60,900,4.761e+09,5.981e+09,3.027e+09,5.726e+09
70,1225,6.602e+09,8.569e+09,4.231e+09,9.13e+09
80,1600,9.277e+09,1.2512e+10,6.059e+09,1.2913e+10
90,2025,1.236e+10,1.8658e+10,8.303e+09,1.8582e+10
100,2500,1.652e+10,2.9235e+10,1.1711e+10,2.6187e+10
