NumVert,NumEdges,Johnson,Floyd-Warshall
10,10,1.24e+08,5.3e+07
60,60,3.742e+09,5.655e+09
110,110,1.7695e+10,3.256e+10
160,160,4.5578e+10,8.9455e+10
210,210,8.6618e+10,1.76928e+11
260,260,1.56676e+11,3.34986e+11
310,310,2.6469e+11,5.8525e+11
360,360,3.80131e+11,8.65902e+11
410,410,5.32513e+11,1.1887e+12
460,460,7.90111e+11,1.83854e+12
10,20,8.3e+07,3.8e+07
60,120,3.361e+09,7.034e+09
110,220,1.4351e+10,3.6013e+10
160,320,4.1063e+10,1.08896e+11
210,420,8.4455e+10,2.46458e+11
260,520,1.53264e+11,4.76891e+11
310,620,2.42726e+11,7.70658e+11
360,720,3.1915e+11,1.01616e+12
410,820,4.41837e+11,1.46198e+12
460,920,6.20571e+11,2.0887e+12
10,40,7.8e+07,3.3e+07
60,240,2.663e+09,5.219e+09
110,440,1.1956e+10,3.1927e+10
160,640,3.255e+10,9.9602e+10
210,840,6.7613e+10,2.19746e+11
260,1040,1.24032e+11,4.24218e+11
310,1240,2.00284e+11,7.20445e+11
360,1440,3.1291e+11,1.14455e+12
410,1640,4.49749e+11,1.69573e+12
460,1840,6.3178e+11,2.44492e+12
10,25,7e+07,3.2e+07
60,900,3.996e+09,6.162e+09
110,3025,2.0323e+10,3.7092e+10
160,6400,6.0609e+10,1.14919e+11
210,11025,1.35053e+11,2.5646e+11
260,16900,2.49082e+11,4.9697e+11
310,24025,4.19836e+11,8.41858e+11
360,32400,6.5631e+11,1.32554e+12
410,42025,9.39373e+11,1.97431e+12
460,52900,1.38792e+12,2.98844e+12
